flight:airline,flight:flightnumber,flight:airport,datetime:date,datetime:time,flight:remainingtime,flight:aircraft,flight:altitude,flight:status,NULL
American,1033,"Nashville, TN (BNA)",6/13/2005,7:01 AM,0:00,Boeing 737-800,0 feet,Arrived,NULL
American Eagle,335,"Nashville, TN (BNA)",6/13/2005,2:06 PM,0:00,E135,0 feet,Arrived,NULL
Alaska,562,"Seattle, WA (SEA)",6/12/2005,9:20 PM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,550,"Seattle, WA (SEA)",6/13/2005,8:07 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,520,"Seattle, WA (SEA)",6/13/2005,9:33 AM,0:00,MD82,0 feet,Arrived,NULL
Alaska,590,"Seattle, WA (SEA)",6/13/2005,6:53 AM,0:00,Boeing 737-700,0 feet,Arrived,NULL
Alaska,558,"Seattle, WA (SEA)",6/12/2005,9:39 PM,0:00,MD83,0 feet,Arrived,NULL
Alaska,580,"Seattle, WA (SEA)",6/13/2005,11:50 AM,0:00,MD83,0 feet,Arrived,NULL
Alaska,140,"Fairbanks, AK (FAI)",6/12/2005,9:27 PM,0:00,Boeing 737 Stage 3,0 feet,Arrived,NULL
Alaska,146,"Barrow, AK (BRW)",6/12/2005,9:09 PM,0:00,Boeing 737 Stage 3,0 feet,Arrived,NULL
Alaska,884,"Anchorage, AK (ANC)",6/13/2005,10:26 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,884,"Fairbanks, AK (FAI)",6/13/2005,8:45 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,104,"Portland, OR (PDX)",6/13/2005,1:42 PM,0:07,Boeing 737-400,"33,000 feet",In Flight,NULL
Alaska,104,"Anchorage, AK (ANC)",6/13/2005,8:08 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,104,"Fairbanks, AK (FAI)",6/13/2005,6:13 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,102,"Anchorage, AK (ANC)",6/13/2005,12:50 PM,2:14,Boeing 737-400,"31,000 feet",In Flight,NULL
Alaska,102,"Fairbanks, AK (FAI)",6/13/2005,11:07 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,144,"Fairbanks, AK (FAI)",6/13/2005,12:03 PM,0:00,Boeing 737 Stage 3,0 feet,Arrived,NULL
Alaska,144,"Barrow, AK (BRW)",6/13/2005,10:25 AM,0:00,Boeing 737 Stage 3,0 feet,Arrived,NULL
Alaska,822,"Fairbanks, AK (FAI)",6/13/2005,2:59 PM,NULL,Boeing 737-400,0 feet,Planned,NULL
Alaska,112,"Anchorage, AK (ANC)",6/13/2005,9:42 PM,NULL,Current Altitude,0 feet,Scheduled,NULL
Alaska,112,"Fairbanks, AK (FAI)",6/13/2005,7:48 PM,NULL,Current Altitude,0 feet,Scheduled,NULL
Alaska Central Express,12,"Fairbanks, AK (FAI)",6/13/2005,10:15 PM,NULL,Current Altitude,0 feet,Scheduled,NULL
Empire Airlines,663,"Fairbanks, AK (FAI)",6/13/2005,12:59 PM,0:00,Fokker F27 Friendship/Fairchild Industries F-27,0 feet,Arrived,NULL
Empire Airlines,663,"Fairbanks, AK (FAI)",6/13/2005,12:59 PM,0:00,Fokker F27 Friendship/Fairchild Industries F-27,0 feet,Arrived,NULL
Frontier Flying Service,592,"Fairbanks, AK (FAI)",6/13/2005,6:24 AM,0:00,Beech 1900,0 feet,Arrived,NULL
Frontier Flying Service,598,"Fairbanks, AK (FAI)",6/13/2005,11:02 AM,0:00,Beech 1900,0 feet,Arrived,NULL
Northern Air Cargo,20,"Nome, AK (OME)",6/14/2005,8:05 AM,NULL,Current Altitude,0 feet,Scheduled,NULL
Northern Air Cargo,20,"Nome, AK (OME)",6/14/2005,8:05 AM,NULL,Current Altitude,0 feet,Scheduled,NULL
Alaska,146,"Fairbanks, AK (FAI)",6/12/2005,10:49 PM,0:00,Boeing 737 Stage 3,0 feet,Arrived,NULL
Alaska,9005,"Fairbanks, AK (FAI)",6/13/2005,4:52 AM,0:00,MD82,0 feet,Arrived,NULL
Alaska,884,"Seattle, WA (SEA)",6/13/2005,3:40 PM,NULL,Boeing 737-400,0 feet,Scheduled,NULL
Alaska,498,"San Francisco, CA (SFO)",6/13/2005,10:37 PM,0:00,Boeing 737-400,0 feet,Landed,NULL
Alaska,202,"San Francisco, CA (SFO)",6/13/2005,11:51 AM,0:00,Boeing 737-400,0 feet,Landed,NULL
Alaska,202,"Seattle, WA (SEA)",6/13/2005,8:56 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,596,"Seattle, WA (SEA)",6/12/2005,9:01 PM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,884,"Anchorage, AK (ANC)",6/13/2005,10:26 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,884,"Fairbanks, AK (FAI)",6/13/2005,8:45 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
United,198,"San Francisco, CA (SFO)",6/13/2005,9:10 AM,0:00,Airbus A319,0 feet,Arrived,NULL
United,198,"Seattle, WA (SEA)",6/13/2005,6:11 AM,0:00,Airbus A319,0 feet,Arrived,NULL
United,729,"Seattle, WA (SEA)",6/13/2005,10:15 AM,0:00,Boeing 737-300,0 feet,Arrived,NULL
United,239,"San Francisco, CA (SFO)",6/13/2005,10:17 PM,NULL,Current Altitude,0 feet,Scheduled,NULL
United,239,"Seattle, WA (SEA)",6/12/2005,9:14 PM,0:00,Airbus A320,0 feet,Arrived,NULL
United,9918,"Seattle, WA (SEA)",6/13/2005,7:15 AM,0:00,Boeing 757-200,0 feet,Arrived,NULL
United,8135,"Seattle, WA (SEA)",6/13/2005,7:26 AM,0:00,Boeing 737-300,0 feet,Arrived,NULL
United,791,"Seattle, WA (SEA)",6/13/2005,6:44 PM,NULL,Boeing 737-300,0 feet,Planned,NULL
United,993,"Seattle, WA (SEA)",6/13/2005,11:55 AM,0:00,Boeing 737-500,0 feet,Arrived,NULL
Alaska,116,"Seattle, WA (SEA)",6/13/2005,12:19 PM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,116,"Fairbanks, AK (FAI)",6/13/2005,6:35 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
United,1237,"Seattle, WA (SEA)",6/13/2005,1:44 PM,0:00,Boeing 737-300,0 feet,Landed,NULL
United,156,"Seattle, WA (SEA)",6/13/2005,3:36 PM,NULL,Airbus A319,0 feet,Scheduled,NULL
United,156,"Seattle, WA (SEA)",6/13/2005,3:36 PM,NULL,Airbus A319,0 feet,Scheduled,NULL
Alaska,498,"Seattle, WA (SEA)",6/12/2005,8:06 PM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,316,"Seattle, WA (SEA)",6/13/2005,1:48 PM,0:00,MD83,"7,200 feet",In Flight,NULL
United,785,"Seattle, WA (SEA)",6/13/2005,5:45 PM,NULL,Boeing 737-300,0 feet,Scheduled,NULL
United,791,"Seattle, WA (SEA)",6/12/2005,7:47 PM,0:00,Boeing 737-300,0 feet,Arrived,NULL
Alaska,816,"Seattle, WA (SEA)",6/13/2005,6:25 AM,0:00,Boeing 737-400,0 feet,Arrived,NULL
Alaska,884,"Seattle, WA (SEA)",6/13/2005,3:40 PM,NULL,Boeing 737-400,0 feet,Scheduled,NULL
United,993,"San Francisco, CA (SFO)",6/13/2005,2:54 PM,0:15,Boeing 737-500,"30,500 feet",In Flight,NULL
Skyway Airlines,2054,"Columbus, OH (CMH)",6/13/2005,8:25 AM,0:00,J328,0 feet,Arrived,NULL
Skyway Airlines,2343,"Columbus, OH (CMH)",6/13/2005,5:50 PM,0:18,J328,"28,000 feet",In Flight,NULL
Skyway Airlines,1514,"Columbus, OH (CMH)",6/13/2005,2:32 PM,0:00,Beech 1900,0 feet,Arrived,NULL
Northwest,1123,"Buffalo, NY (BUF)",6/13/2005,3:35 PM,0:00,DC95,0 feet,Arrived,NULL
Northwest,1980,"Detroit, MI (DTW)",6/13/2005,9:23 AM,0:00,DC93,0 feet,Arrived,NULL
Northwest,1980,"Buffalo, NY (BUF)",6/13/2005,7:11 AM,0:00,DC95,0 feet,Arrived,NULL
Northwest,1125,"Detroit, MI (DTW)",6/13/2005,4:32 PM,0:00,DC93,0 feet,Arrived,NULL
Northwest,1125,"Buffalo, NY (BUF)",6/13/2005,1:07 PM,0:00,DC95,0 feet,Arrived,NULL
Northwest,1129,"Detroit, MI (DTW)",6/13/2005,12:24 PM,0:00,DC95,0 feet,Arrived,NULL
Northwest,1129,"Buffalo, NY (BUF)",6/13/2005,9:42 AM,0:00,DC93,0 feet,Arrived,NULL
Northwest,1119,"Detroit, MI (DTW)",6/13/2005,7:40 PM,NULL,DC93,0 feet,Planned,NULL
Northwest,1119,"Buffalo, NY (BUF)",6/13/2005,5:42 PM,0:00,DC93,0 feet,Landed,NULL
Northwest,1121,"Buffalo, NY (BUF)",6/13/2005,7:20 PM,NULL,DC93,0 feet,Scheduled,NULL
Champion Air,103,"Las Vegas, NV (LAS)",6/13/2005,12:25 PM,0:14,Boeing 727-200,"21,000 feet",In Flight,NULL
America West,96,"Las Vegas, NV (LAS)",6/13/2005,1:58 PM,2:08,Airbus A319,0 feet,Arrived,NULL
America West,96,"Las Vegas, NV (LAS)",6/13/2005,1:58 PM,2:08,Airbus A319,0 feet,Arrived,NULL
America West,98,"Las Vegas, NV (LAS)",6/12/2005,11:23 PM,0:00,Airbus A320,0 feet,Arrived,NULL
Northwest,1200,"Las Vegas, NV (LAS)",6/13/2005,1:13 AM,0:00,Boeing 757-200,0 feet,Arrived,NULL
America West,98,"Las Vegas, NV (LAS)",6/12/2005,11:23 PM,0:00,Airbus A320,0 feet,Arrived,NULL
Champion Air,101,"Las Vegas, NV (LAS)",6/12/2005,6:59 PM,0:00,Boeing 727-200,0 feet,Arrived,NULL
Northwest,1194,"Detroit, MI (DTW)",6/13/2005,7:20 AM,0:00,Boeing 757-200,0 feet,Arrived,NULL
Northwest,1194,"Las Vegas, NV (LAS)",6/12/2005,10:47 PM,0:00,Boeing 757-200,0 feet,Arrived,NULL
Northwest,1196,"Las Vegas, NV (LAS)",6/13/2005,10:58 AM,0:00,Boeing 757-200,0 feet,Arrived,NULL
Northwest,1192,"Las Vegas, NV (LAS)",6/13/2005,2:53 PM,2:49,Boeing 757-200,"37,000 feet",In Flight,NULL
Spirit Airlines,788,"Las Vegas, NV (LAS)",6/12/2005,10:51 PM,0:00,Airbus A319,0 feet,Arrived,NULL
American Eagle,317,"Chicago, IL (ORD)",6/13/2005,2:11 PM,0:00,E135,0 feet,Arrived,NULL
American Eagle,904,"Chicago, IL (ORD)",6/13/2005,4:41 PM,NULL,Embraer EMB-145,0 feet,Scheduled,NULL
American Eagle,217,"Chicago, IL (ORD)",6/13/2005,6:44 PM,00:27 (planned),Embraer EMB-145,0 feet,Landed,NULL
American Eagle,217,"Chicago, IL (ORD)",6/13/2005,6:44 PM,00:27 (planned),Embraer EMB-145,0 feet,Landed,NULL
American Eagle,400,"Chicago, IL (ORD)",6/13/2005,10:08 AM,0:00,Embraer EMB-145,0 feet,Arrived,NULL
American Eagle,400,"Chicago, IL (ORD)",6/13/2005,10:08 AM,0:00,Embraer EMB-145,0 feet,Arrived,NULL
Continental,552,"Columbus, OH (CMH)",6/13/2005,5:35 PM,NULL,Boeing 737-500,0 feet,Scheduled,NULL
Continental Express/ExpressJet Airlines,2477,"Newark, NJ (EWR)",6/13/2005,1:46 PM,0:00,Embraer EMB-145,0 feet,Arrived,NULL
Continental Express/ExpressJet Airlines,2477,"Newark, NJ (EWR)",6/13/2005,1:46 PM,0:00,Embraer EMB-145,0 feet,Arrived,NULL
Continental Express/ExpressJet Airlines,3202,"Columbus, OH (CMH)",6/13/2005,9:12 AM,0:00,Embraer EMB-145,0 feet,Arrived,NULL
Continental,652,"Columbus, OH (CMH)",6/13/2005,7:14 AM,0:00,Boeing 737-500,0 feet,Arrived,NULL
Continental Express/ExpressJet Airlines,3072,"Columbus, OH (CMH)",6/13/2005,1:43 PM,0:00,Embraer EMB-145,0 feet,Arrived,NULL
Continental Express/ExpressJet Airlines,3074,"Columbus, OH (CMH)",6/13/2005,8:08 PM,NULL,E45X,0 feet,Scheduled,NULL
American,657,"Dallas, TX (DFW)",6/13/2005,9:15 AM,0:00,MD82,0 feet,Arrived,NULL
American,657,"New Orleans, LA (MSY)",6/13/2005,6:48 AM,0:00,MD82,0 feet,Arrived,NULL
