LatDD,LonDD,LatDMS,LonDMS,UTM
-78,-169,-780000,-1690000,NU44
-78,-169,-780000,-1690000,NU44
-77.75,180,-774500,1800000,DP26
-77.6666667,-35,-774000,-350000,DP57
-77.5,-162,-773000,-1620000,DU29
-77.5,-159.5,-773000,-1593000,DU89
-77.5,-34.5,-773000,-343000,DP69
-77.5,-34.5,-773000,-343000,DP69
-77.1666667,-32.75,-771000,-324500,EQ03
-77.1666667,-32.75,-771000,-324500,EQ03
-77,-159.5,-770000,-1593000,DV85
-77,-152.5,-770000,-1523000,NQ15
-77,-36,-770000,-360000,DQ25
-77,-32.5,-770000,-323000,EQ15
-77,-32.5,-770000,-323000,EQ15
-76.8333333,-155,-765000,-1550000,MQ47
-76.8333333,-31.6666667,-765000,-314000,EQ37
-76.75,176,-764500,1760000,VV78
-76.6666667,-158,-764000,-1580000,EV29
-76.6666667,-158,-764000,-1580000,EV29
-76.5833333,-30.6666667,-763500,-304000,EQ69
-76.4166667,-30,-762500,-300000,MA21
-76.35,-30,-762100,-300000,MA22
-76.3333333,-28.8333333,-762000,-285000,MA52
-76.05,165,-760300,1650000,EA05
-76,-26,-760000,-260000,NA26
-76,169,-760000,1690000,MR46
-76,169,-760000,1690000,MR46
-75.5,-157.25,-753000,-1571500,EB41
-75.5,-26.5833333,-753000,-263500,NB12
-75,-175,-750000,-1750000,ES57
-75,-163,-750000,-1630000,WS57
-75,-48,-750000,-480000,MS17
-75,-29.3333333,-750000,-292000,MB37
-75,-25,-750000,-250000,NB57
-75,169,-750000,1690000,MS47
-74.8333333,166.5,-745000,1663000,EB49
-74.8333333,166.5,-745000,1663000,EB49
-74.8333333,166.5,-745000,1663000,EB49
-74.5,174,-743000,1740000,VC12
-74.5,179.9833333,-743000,1795900,WC82
-74.5,179.9833333,-743000,1795900,WC82
-74,-33,-740000,-330000,ET08
-73.5,174,-733000,1740000,VD04
-73.25,177.75,-731500,1774500,WD27
-73,-48.5,-730000,-483000,ED89
-73,-48.5,-730000,-483000,ED89
-73,-45,-730000,-450000,NU09
-73,-45,-730000,-450000,NU09
-72.75,-32,-724500,-320000,EV32
-72.5,-179,-723000,-1790000,DV35
-72.4333333,-22.8333333,-722600,-225000,VV36
-72,-71,-720000,-710000,DA30
-72,-24,-720000,-240000,UA90
-71.9166667,172.5,-715500,1723000,NA51
-71.9166667,172.5,-715500,1723000,NA51
-71.5,-21,-713000,-210000,WA06
-71.4166667,-24.7833333,-712500,-244700,NF77
-71.4166667,-24.7833333,-712500,-244700,NF77
-71.25,176.8333333,-711500,1765000,VF99
-71,-85,-710000,-850000,EG72
-71,-85,-710000,-850000,EG72
-71,-85,-710000,-850000,EG72
-70.75,-178.25,-704500,-1781500,DB55
-70.75,-178.25,-704500,-1781500,DB55
-70.75,-14,-704500,-140000,EG35
-70.5833333,176.25,-703500,1761500,VG76
-70.55,-15,-703300,-150000,EG07
-70.25,165,-701500,1650000,EH00
-70.25,170.25,-701500,1701500,MC70
-70.0333333,172.5,-700200,1723000,NC52
-70,-118,-700000,-1180000,MC63
-70,171.5,-700000,1713000,NC13
-70,171.5,-700000,1713000,NC13
-69.9833333,-69.9833333,-695900,-695900,DC63
-69,-70,-690000,-700000,DD64
-69,-70,-690000,-700000,DD64
-69,159,-690000,1590000,WD04
-68.6333333,-97.0833333,-683800,-970500,NJ78
-68.25,74.5,-681500,743000,DE72
-68,-179.8333333,-680000,-1795000,CE85
-68,-179.8333333,-680000,-1795000,CE85
-68,12,-680000,120000,UE75
-68,33,-680000,330000,WK05
-68,164.5,-680000,1643000,DK75
-67.75,-179.9166667,-674500,-1795500,CE78
-67.6166667,163.5,-673700,1633000,DK39
-67.55,-0.6666667,-673300,-4000,WL90
-67.5,77.5,-673000,773000,FF01
-67.5,77.5,-673000,773000,FF01
-67.4166667,146,-672500,1460000,DF52
-67.4166667,146,-672500,1460000,DF52
-67.4166667,146,-672500,1460000,DF52
-67.4166667,167,-672500,1670000,EL82
-67.4166667,167,-672500,1670000,EL82
-67.3,70,-671800,700000,WL43
-67.1666667,-96.8833333,-671000,-965300,NL94
-67.1666667,80.5,-671000,803000,ML74
-67,170,-670000,1700000,MF56
-66.5,33.75,-663000,334500,WM32
