Place,Longitude,Latitude
Whitley G,-83.83438,34.71239
Kephart,-83.36812,35.61441
Laurel Gap,-83.1866,35.66582
Mt Le Cont,-83.4338,35.65271
Black Gap,-84.1988,34.61756
Madison Sp,-71.28348,44.32776
Crag Camp,-71.30257,44.33495
Gray Knob,-71.31059,44.3323
The Perch,-71.31103,44.3245
Lake of Cl,-71.31934,44.25894
Hermit Lk1,-71.28685,44.26113
Hermit Lk2,-71.28643,44.26134
Crawford N,-71.41171,44.22014
Hexacuba,-72.02952,43.874
Gifford W,-72.8117,43.6761
Old Job,-72.92894,43.35407
William B,-72.99142,43.1445
S Bourn P,-73.00564,43.10342
Stratton P,-72.96879,43.10141
Kid Gore,-73.04157,43.01303
Wilbur Clr,-73.17023,42.6685
Bellows P,-73.15467,42.6441
Pecks Brk,-73.16725,42.62521
Deer Hill,-73.19403,42.62935
Upper Goos,-73.18174,42.28867
Glen Brook,-73.42878,42.11115
The Hemloc,-73.42946,42.10992
Riga,-73.44816,42.01459
Limestone,-73.3923,41.97513
W Mtn,-74.0111,41.2841
Saver Holl,-80.33541,37.35538
Pickle Br,-80.19133,37.38804
Blackrock,-78.74266,38.21408
Rock Spr,-78.40859,38.55307
Ed Garvey,-77.66456,39.35642
Ensign Cow,-77.55793,39.62771
Rutherford,-74.67845,41.27747
Ore Hill,-71.941,43.9636
Smarts Mtn,-72.03784,43.82529
Velvet Roc,-72.26516,43.70247
Moose Mtn,-72.14746,43.72782
Trapper J,-72.11197,43.78303
Rattle Rvr,-71.10799,44.37994
Guyot Camp,-71.53557,44.16097
Imp Camp,-71.15059,44.3289
Speck Pond,-70.97409,44.56462
Full Goose,-70.98136,44.5251
Gentian P,-71.06989,44.45175
Ethan Pond,-71.42713,44.17719
Eliza Brk,-71.74235,44.10078
Jeffers Br,-71.88943,43.99655
Beaver Brk,-71.81179,44.03296
Kinsman P,-71.73283,44.13685
Garfield R,-71.60881,44.19063
Carlo Col,-71.01668,44.48859
Piazza Roc,-70.53141,44.90411
Popular Ri,-70.44634,44.97003
Spaulding,-70.34182,44.99575
Little Big,-70.19164,45.13912
Horns Pond,-70.33062,45.14423
Hurd Brook,-69.01904,45.81853
Carter Not,-71.19588,44.2593
Greenleaf,-71.66077,44.16027
Lonesome L,-71.70365,44.13846
Galehead,-71.56939,44.18781
Mizpah Spr,-71.37011,44.21934
Zealand F,-71.49482,44.19571
Minerva Hi,-72.925,43.48779
Clarendon,-72.91312,43.52353
Governor C,-72.84878,43.56456
Stony Brk,-72.73059,43.69179
Wintturi S,-72.62257,43.66218
Cloudland,-72.49363,43.69217
Happy Hill,-72.36566,43.72387
Thistle Hi,-72.4758,43.69517
Tucker Joh,-72.84361,43.6792
Cooper Ldg,-72.82294,43.60595
Pico Camp,-72.83096,43.63903
Tricorner,-83.25665,35.69367
Baldpate,-70.91229,44.59837
Rainbow St,-69.17104,45.79909
Potaywadjo,-69.00791,45.70658
East Branc,-69.1988,45.59676
Cooper Br,-69.08798,45.64053
Chairback,-69.26272,45.45293
Logan Brk,-69.23538,45.56114
Carl A New,-69.31553,45.5305
Leeman Brk,-69.49926,45.35158
Wilson Val,-69.4601,45.39796
Bald Mtn B,-69.79993,45.25854
Moxie Bald,-69.74577,45.27059
Horseshoe,-69.62812,45.28279
Pierce Pon,-70.05604,45.24033
West Carry,-70.10036,45.15807
Sabbath Da,-70.66286,44.84104
Bemis Mtn,-70.75646,44.8103
Hall Mtn,-70.82511,44.70084
Frye Notch,-70.90084,44.62772
Wadleigh S,-69.14518,45.74733
Pleasant P,-69.91678,45.2706
Long Pond,-69.41015,45.42193
Cloud Pond,-69.35222,45.41892
Kirkridge,-75.18686,40.9367
Leroy A S,-75.3598,40.83935
Lula Tye,-72.95527,43.39546
Little Roc,-72.95361,43.40422
Greenwall,-72.92914,43.44042
Mt WilcoxS,-73.26853,42.20781
October Mt,-73.15453,42.35487
Kay Wood,-73.1619,42.4525
Bascom Ldg,-73.16784,42.63689
Mark Noepe,-73.18453,42.60855
Seth Warne,-73.13757,42.77184
Congdon,-73.11037,42.84805
Melville N,-73.09618,42.88778
Goddard,-73.07263,42.97413
Caughnawag,-73.04411,43.015
Story Spr,-73.01301,43.05054
Peru Peak,-72.95288,43.30132
Big Branch,-72.9469,43.36407
Spruce Pea,-72.99568,43.1786
Telephone,-73.61931,41.60427
Tom Leonar,-73.30623,42.16483
Brassie Br,-73.4536,42.02833
Wiley,-73.53273,41.63775
Ten Mile R,-73.50993,41.66507
Morgan Ste,-73.69214,41.56455
William Br,-74.05987,41.2797
RPH,-73.79292,41.51438
Fingerboar,-74.10443,41.26328
Brink Road,-74.83817,41.1532
Mashipacon,-74.68682,41.25212
Gren Ander,-74.75307,41.19939
Wawayanda,-74.39848,41.20219
Wildcat,-74.26827,41.26835
Bake Oven,-75.7274,40.75412
Allentown,-75.87437,40.68306
Windsor Fu,-75.9423,40.59029
George W,-75.61832,40.78249
Birch Run,-77.42073,39.98459
Toms Run,-77.35731,40.03429
James Fry,-77.20638,40.06297
