Place,Longitude,Latitude
Alec Kenne,-77.10425,40.11192
Darlington,-77.08735,40.30198
Cove Mtn2,-77.06784,40.36346
Clarks Fer,-76.99403,40.39222
Peters Mtn,-76.87968,40.42579
Rausch Gap,-76.60052,40.49853
501 Shltr,-76.34688,40.51251
William Pe,-76.41435,40.4956
Eagles Nes,-76.15268,40.54929
Mt Algo,-73.49665,41.73165
Tumbling R,-77.47825,39.805
Antietam,-77.48296,39.79381
Deer Lick,-77.4852,39.76619
Rocky Run,-77.63135,39.46081
Pine Knob,-77.60239,39.5425
Devils Rac,-77.52464,39.67203
Rocky Mtn,-77.50089,39.86856
Quarry Gap,-77.48673,39.93196
Crampton G,-77.63764,39.41253
Rod Hollow,-77.94438,39.04782
Sam Moore,-77.88658,39.09064
Bears Den,-77.85444,39.11095
Blackburn,-77.79768,39.18786
David Less,-77.77954,39.22718
Manassas G,-78.03307,38.93059
Dick's Dom,-77.99702,38.96992
Pine S Brk,-73.3921,41.88163
Stewart Ho,-73.41978,41.7786
Eckville,-75.9588,40.63284
High Point,-74.64375,41.32775
Pochuck Mt,-74.51626,41.27167
Mt WilcoxN,-73.25055,42.22102
Niday,-80.26443,37.38749
War Spur,-80.47404,37.39754
Rice Field,-80.75855,37.37479
Pine Swp B,-80.60876,37.42209
Laurel Crk,-80.42119,37.35891
Bailey Gap,-80.57724,37.40086
Fontana,-83.79414,35.44833
Sassafras,-83.66697,35.33068
Brown Fork,-83.73391,35.37424
Cold Spr,-83.55986,35.2309
Wesser Bal,-83.58222,35.28235
A Rufus M,-83.59021,35.32418
Cosby Knob,-83.1822,35.72708
Davenport,-83.12368,35.76922
Icewater,-83.38639,35.62969
Double Sp1,-83.54286,35.56517
Silers Bal,-83.56834,35.5642
Derrick Kn,-83.6419,35.56625
Spence Fld,-83.73272,35.5618
Russell Fi,-83.76661,35.56174
Mollies R,-83.79361,35.54578
Stan Murra,-82.06589,36.11227
Overmounta,-82.05441,36.12354
Apple Hous,-82.01133,36.17209
Roan High,-82.1227,36.10496
Clyde Smit,-82.16134,36.14844
Cherry Gap,-82.26416,36.12924
Curley Map,-82.39698,36.10417
No Busines,-82.43359,36.06677
Bald Mtn,-82.47833,36
Hogback R,-82.58717,35.96395
Little Lrl,-82.73592,36.01499
Jerry Cabi,-82.65736,36.05647
Flint Mtn,-82.59686,36.03479
Jenkins,-81.24779,37.09339
Jenny Knob,-80.98028,37.15498
Wapiti,-80.82414,37.22394
Doc's Knob,-80.83642,37.27021
Knot Maul,-81.40455,37.00066
Racoon Br,-81.47199,36.73092
Trimpi,-81.48061,36.74918
Partnershi,-81.42259,36.8094
Chatfield,-81.3633,36.84991
Davis Path,-81.37691,36.91444
Chestnut K,-81.3995,37.05769
Wise,-81.49858,36.65392
Old Orchar,-81.51123,36.68321
Abingdon G,-81.90222,36.58101
The Place,-81.78745,36.63382
Thomas Knb,-81.53535,36.65656
Holiday In,-81.92037,36.57215
Lost Mtn,-81.65628,36.64406
Saunders,-81.71315,36.6377
Double Sp2,-81.98621,36.50897
Watauga Lk,-82.12954,36.31388
Iron Mount,-81.99104,36.43553
Vandevente,-82.05896,36.36694
Laurel Frk,-82.13638,36.27856
Moreland G,-82.08852,36.22012
Spring Mtn,-82.79024,35.95148
Deer Park,-82.86137,35.87583
Roaring Fo,-82.93862,35.82234
Walnut Mtn,-82.93667,35.83645
Groundhog,-83.02631,35.78166
Siler Bald,-83.57254,35.14414
Big Spring,-83.4789,35.05891
Rock Gap,-83.5231,35.09144
Carter G2,-83.49426,34.9989
Woods Hole,-83.95502,34.73713
Blood Mtn,-83.93754,34.73996
Low Gap,-83.82465,34.77618
Blue Mtn,-83.76681,34.81711
Tray Mtn,-83.67688,34.80396
Deep Gap,-83.64616,34.88235
Plumorchar,-83.5883,34.94604
Muskrat Cr,-83.58163,35.02054
Standing I,-83.54815,35.04183
Carter G1,-83.49488,34.99987
Pass Mtn,-78.31919,38.67657
Gravel Spr,-78.2345,38.76347
Paul C Wo,-78.88391,37.98564
Pinefield,-78.646,38.29055
Hightop,-78.55863,38.33304
Bearfence,-78.47071,38.44408
Maupin Fld,-78.99385,37.88488
Harpers Cr,-79.00123,37.85641
The Priest,-79.0706,37.81775
Boy Scout,-80.07413,37.38531
Catawba,-80.05742,37.3882
Campbell,-80.0295,37.39079
Lamberts M,-79.98779,37.43456
Wilson Crk,-79.78573,37.41926
Fullhardt,-79.85393,37.39847
Bobblets G,-79.70144,37.4672
Cove Mtn1,-79.65106,37.51171
Cornelius,-79.54721,37.49391
Bryant Rdg,-79.58556,37.53004
Thunder Hi,-79.50419,37.52738
Matts Crk,-79.41347,37.59945
Punchbowl,-79.33876,37.67775
Johns Holl,-79.39209,37.613
Brown Mtn,-79.26817,37.71023
Seeley Woo,-79.15514,37.81893
Jim & Moll,-78.08333,38.88996
Tom Floyd,-78.16392,38.85039
Cable Gap,-83.77357,35.41522
Mt Collin,-83.47141,35.59374
Pecks Corn,-83.3086,35.65074
Helveys M,-81.10441,37.13262
Cow Camp,-79.21331,37.74662
Calf Mtn,-78.78683,38.08552
Gooch Mtn,-84.0343,34.6532
Springer,-84.19306,34.62915
Hawk Mtn,-84.13643,34.66583
Stover Crk,-84.19985,34.64945
The Birche,-68.99569,45.88165
