Lat,Lon
25.823,62.209
31.433,70.767
28.833,70.183
25.837,62.241
30.233,71.267
33.536,72.341
31.038,72.489
31.905,73.872
31.367,74.367
32.5,73.95
29.95,66.717
33.583,73.517
29.617,71.917
32.167,70.523
32.733,72.617
32.383,72.7
33.9,74.1
33.583,73.383
33.751,72.445
33.964,72.746
31.556,69.859
32.417,73.533
31.044,74.378
32.948,70.888
32.467,32.467
29.9,29.9
32.867,32.867
23.1,23.1
24.083,24.083
30.8,30.8
30.05,30.05
28.083,28.083
24.717,24.717
24.6,24.6
22.833,22.833
30.367,30.367
23.267,23.267
23.933,23.933
23.267,23.267
24.683,24.683
33.15,33.15
31.283,31.283
32.117,32.117
28.817,28.817
26.783,26.783
23.167,23.167
31.183,31.183
25.467,25.467
29.533,29.533
27.383,27.383
22.767,22.767
27.3,27.3
23.233,23.233
23.883,23.883
24.15,24.15
28.683,28.683
27.65,27.65
24.267,24.267
27.65,27.65
26.75,26.75
26.75,26.75
27.8,27.8
25,25
28.483,28.483
22.6,22.6
22.517,22.517
22.167,22.167
31.3,31.3
24.983,24.983
23.667,23.667
28.7,28.7
29.667,29.667
28.067,28.067
26.25,26.25
28.717,28.717
28.067,28.067
22.517,22.517
22.867,22.867
31.067,31.067
32.9,32.9
24.117,24.117
22.683,22.683
22.767,22.767
23.617,23.617
22.817,22.817
23.25,23.25
28.683,28.683
30.667,30.667
24,24
24,24
27.65,27.65
31.833,31.833
31.833,31.833
30.667,30.667
25.233,25.233
24.883,24.883
24.867,24.867
27.9,27.9
30.617,30.617
30.783,30.783
32.85,32.85
24.717,24.717
31.483,31.483
29.05,29.05
22.75,22.75
26.1,26.1
29.767,29.767
24.2,24.2
28.083,28.083
24.95,24.95
31.95,31.95
32.15,32.15
29.467,29.467
27.3,27.3
32.083,32.083
27.667,27.667
30.8,30.8
27.667,27.667
24,24
23.283,23.283
31.383,31.383
26.933,26.933
30.867,30.867
31.283,31.283
23.617,23.617
22.883,22.883
32.6,32.6
31.833,31.833
22.883,22.883
24.017,24.017
26.883,26.883
28.35,28.35
27.667,27.667
30.65,30.65
23.25,23.25
23.25,23.25
26.933,26.933
28.35,28.35
28.817,28.817
32.233,32.233
29.667,29.667
30.05,30.05
24.717,24.717
23.983,23.983
32.15,32.15
32.15,32.15
30.75,30.75
24.883,24.883
22.633,22.633
31.833,31.833
28.3,28.3
28.717,28.717
28.967,28.967
28.967,28.967
24.25,24.25
26.683,26.683
28.45,28.45
31.167,31.167
30.667,30.667
29.15,29.15
29.567,29.567
24.883,24.883
28.833,28.833
28.833,28.833
30.983,30.983
26.95,26.95
32.45,32.45
27.9,27.9
22.383,22.383
22.417,22.417
23.75,23.75
22.5,22.5
23.2,23.2
23.1,23.1
22.517,22.517
22.25,22.25
30.617,30.617
22.017,22.017
24.283,24.283
22.6,22.6
31.317,31.317
31.4,31.4
22.6,22.6
31.183,31.183
28.367,28.367
31.25,31.25
24.133,24.133
31.95,31.95
31.25,31.25
32.483,32.483
31.35,31.35
32.65,32.65
23.033,23.033
32.8,32.8
32.517,32.517
33.033,33.033
26.517,26.517
25.55,25.55
26.517,26.517
29.933,29.933
33.233,33.233
33.283,33.283
31.4,31.4
31.933,31.933
32.1,32.1
32.5,32.5
28.1,28.1
33.283,33.283
33.233,33.233
33.067,33.067
