Lat,Lon
27.35,89.967
27.35,89.9
26.983,89.817
27.217,91.5
27.217,90.717
27.7,89.55
27.317,91.567
27.033,90.233
27.267,90.3
26.817,91.717
26.9,90.433
26.9,90.917
27.05,90.3
27.7,89.55
27.55,90.717
27.6,90.817
27.767,89.45
27.083,89.867
26.9,89.1
27.4,90.467
27.2,89.55
27.2,89.55
27.5,90.283
27.45,90.333
26.917,89.033
26.917,89.033
27.067,89.583
27.55,90
27.067,90.1
27.067,89.583
27.05,91.417
27.533,89.3
27.067,89.883
26.933,89.95
26.9,92.1
27.117,89.767
27.3,91.45
27.3,91.45
27.3,91.45
27.3,91.45
27.017,90.1
27.417,89.35
26.967,89.383
27.667,89.917
27.3,91.45
27.017,89.25
27.017,89.25
26.867,91.467
26.967,90.117
27.6,90.65
27.05,91.983
27.95,91.033
27.017,90.1
27.067,91.067
27.6,91.183
27.2,89.2
27.017,89.217
27.017,89.217
26.833,89.817
27.583,89.633
27.033,89.4
27,90.533
27.917,89.683
27.333,89.8
27.417,89.25
26.85,90.5
27.4,91.567
27.367,89.967
26.9,89.85
27.033,90.433
27.183,91.167
27.517,90.633
27.367,89.283
27.183,90.033
26.85,90.5
27.4,88.983
27.4,88.983
27.55,90.733
27.1,88.883
27.533,90.467
26.717,90.85
27.25,89.967
27.167,91.733
27.417,89.25
27.417,89.25
27.75,89.717
27.1,91.25
27.1,91.25
27.45,91.583
27.45,91.583
27,91.35
26.9,89.617
27.25,90
27.533,91.05
27.617,90.7
26.783,90.517
26.95,90.133
26.967,90.1
27.333,90.567
27.817,91.5
28.067,89.683
27.65,91.15
27.917,90.75
27.65,91.15
27.917,89.433
27.15,89.55
27.1,91.933
28.05,90.167
27.533,90.1
27.033,90.4
27.133,89.117
27.25,91.2
27.383,91.167
26.9,91.267
27.383,89.267
27.333,90.4
27.333,90.4
27.6,90.883
27.683,90.717
27.45,91.583
26.783,91.25
27.2,90.95
27.5,90.283
26.9,89.35
27.533,89.883
26.867,90.983
26.95,90.817
26.95,90.817
27.433,89.417
27.033,91.45
26.717,90.05
26.75,90.1
26.85,89.383
26.85,89.383
26.85,89.383
26.933,90.983
27.567,90.983
26.717,90.05
27.117,89.95
27.617,89.867
27.617,89.867
27.617,89.867
27.367,91.683
26.967,91.467
27.3,89.533
27.1,89.283
27.883,90.517
27.55,90.167
27.35,91.667
27.833,90.933
27.383,91.867
27.383,91.867
27.383,91.867
27.3,90.617
26.867,89.1
27.4,90.5
27.4,90.5
27.533,90
27.583,91.383
27.3,90.617
27.167,89.083
27.3,89.317
26.867,90.267
27.75,90.867
27.133,91.433
27.733,91.2
27.367,90.2
55.633,24.433
53.95,24.3
53.95,24.3
54.433,23.933
54.433,23.933
55.4,24.817
55.867,21.417
55.233,24.317
55.15,23.883
54.933,23.7
54.933,23.65
55.867,21.417
55.233,24.317
55.15,23.883
54.933,23.65
55.15,23.883
55.433,25.717
55.433,25.717
55.167,26.5
55.167,26.5
55.55,21.917
55.367,21.683
55.55,21.917
55.267,23.283
55.983,21.717
55.983,21.717
56.067,24.933
55.567,22.2
55.567,22.2
55.983,21.717
55.3,24.833
55.3,24.833
55.833,22.25
55.55,23.383
55.55,23.383
55.55,23.383
55.533,22.133
55.533,22.133
55.617,23.15
55.383,23.233
55.067,22.733
55.067,22.733
54.933,24.917
55.85,22.867
56.267,23.933
56.017,25.783
56.267,23.933
56.017,25.783
55.517,23.667
54.733,25.4
55.517,23.667
55.517,23.667
55.917,23.433
55.783,24.117
55.75,22.317
55.633,24.483
55.617,21.233
55.917,23.433
54.767,24.383
56.15,22.6
54.767,24.383
56.15,22.6
55.917,23.433
55.617,21.233
54.867,24.45
54.867,24.45
54.867,24.45
55.817,21.333
54.817,23.583
56.15,22.6
54.783,24.667
55.6,23.55
55.783,25.767
55.783,25.767
54.183,24.783
55.55,25.533
55.55,25.533
55.55,25.533
54.45,23.833
54.4,24.217
54.367,23.667
54.2,24.833
54.367,23.667
54.45,23.833
54.367,23.667
56.083,23.8
56.05,21.15
55.083,24.7
55.55,25.533
55.55,25.533
54.3,25.15
55.55,25.533
55.35,21.667
55.283,21.767
55.05,22.467
55.017,23.3
55.4,24
55.4,24
55.4,24
56.033,21.55
55.983,24.367
55.95,23.717
56.033,21.55
56.25,23.55
56.033,22.217
55.6,22.4
55.067,22.717
54.983,24.15
54.317,24.05
56.033,22.217
55.6,22.4
56.033,22.217
56.033,21.55
56.15,22.05
56.15,22.05
54.717,24.583
55.383,21.517
54.8,24.6
54.883,24.5
55.7,21.433
56.15,22.733
55.933,22.117
55.9,23.517
55.883,21.567
55.85,22.867
55.667,22.733
55.533,22.333
55.467,21.95
55.283,22.9
55.217,22.35
55.633,22.683
55.033,24.967
56.15,22.05
55.333,23.1
55.283,21.767
55.333,23.1
55.633,22.683
55.567,22.033
55.783,21.117
55.133,23.167
55.25,22.233
55.267,26
55.267,26
55.267,26
55.567,22.45
55.567,22.45
55.567,22.45
54.9,22.983
54.3,25.15
54.4,23.233
54.733,25.283
54.4,23.233
54.733,25.283
54.4,23.233
56.117,22.017
55.05,22.467
54.633,25.7
54.533,25.3
55.317,21.483
55.767,25.45
55.633,21.283
55.583,22.717
54.7,24.283
54.65,24.1
54.417,24.733
54.017,23.583
54.583,25.3
55.5,21.333
55.767,25.45
54.7,24.283
55.05,22.95
55.217,22.767
54.733,25.283
54.4,23.233
56.117,22.017
56.283,24.3
34.783,72.283
28.233,67.55
32.373,71.632
31.567,73.667
34.783,72.283
28.233,67.55
32.9,70.7
33.117,73.217
33.117,73.217
30.4,71.867
31.848,73.937
34.252,71.583
31.4,72.133
29.6,66.883
26.417,69.883
34.65,72.8
27.217,68.033
31.8,73.183
31.8,73.183
30.434,67.324
30.578,67.198
30.437,67.288
30.468,67.354
30.2,69.733
30.887,67.308
33.832,72.637
31.387,74.324
29.483,61.25
30.967,74.3
32.633,72
29.483,61.25
30.7,70.283
27.667,69.717
25.217,69.183
25.217,69.183
32.317,72.467
30.434,67.324
31.387,74.324
32.1,72.733
32.1,72.733
25.217,69.183
25.217,69.183
32.317,72.467
34.133,72.95
25.933,68.217
34.133,72.95
31.45,72.217
36.867,75.017
30.233,71.267
32.55,69.65
33.817,69.983
33.9,70.583
30.583,72.2
31.233,72.6
31.233,72.6
33.012,70.629
30.067,71.317
26.151,64.213
34.083,72.483
27.167,69.317
28.067,69.333
28.617,72.133
34.083,72.483
30.75,71.433
24.483,68.983
32.417,73.483
32.65,72.483
32.183,73.267
31.683,72.183
31.35,72.617
31.583,72.167
29.683,70.967
28.067,69.333
30.75,71.433
32.917,73.45
34.9,71.504
34.717,72.717
27.583,68.867
34.717,72.717
30.75,71.433
25.823,62.209
34.91,71.733
34.867,71.596
29.6,66.383
34.917,72.667
34.067,72.933
34.883,71.383
34.969,71.558
34.783,73.533
34.333,71.766
33.995,72.986
34.783,73.533
33.583,71.367
33.583,71.367
33.583,71.367
33.536,72.341
33,73.183
30.45,67.517
29.3,68.9
24.617,67.733
32.5,72.7
26.447,62.894
33.583,73.517
29.904,73.151
33.112,72.796
30.383,70.933
32.633,71.267
33.82,72.086
33.467,70.867
