0:PR-Year	1:PR-CarMake	2:PR-CarModel	3:PR-CarBodyStyle	4:PR-Color	5:CT-CarEngine:PR-EngineCapacity	5:CT-CarEngine:PR-CarCylinders	6:PR-CarMileage	7:PR-Price	8:PR-VIN	9:PR-Price
2001	ford	explorer spo	NULL	silver	NULL	NULL	21 , 531	$ 15  , 988	NULL	15  , 988
2001	ford	explorer spo	NULL	silver	NULL	NULL	21 , 531	$ 15  , 988	NULL	15  , 988
2001	mercury	villager est	NULL	green	NULL	NULL	36 , 352	$ 20  , 988	NULL	20  , 988
2001	mercury	villager est	NULL	green	NULL	NULL	36 , 352	$ 20  , 988	NULL	20  , 988
2001	mercury	villager est	NULL	green	NULL	NULL	36 , 352	$ 20  , 988	NULL	20  , 988
2001	lincoln	continentl	NULL	grey	NULL	NULL	23 , 899	$ 22  , 988	NULL	22  , 988
2001	lincoln	continentl	NULL	grey	NULL	NULL	23 , 899	$ 22  , 988	NULL	22  , 988
2001	lincoln	ls v8	NULL	null	NULL	NULL	14 , 914	$ 27  , 988	NULL	27  , 988
2001	lincoln	navigator 2wd	NULL	null	NULL	NULL	38 , 590	$ 29  , 988	NULL	29  , 988
2001	lincoln	navigator 2wd	NULL	null	NULL	NULL	38 , 590	$ 29  , 988	NULL	29  , 988
2001	lincoln	navigator 2wd	NULL	null	NULL	NULL	38 , 590	$ 29  , 988	NULL	29  , 988
2001	lincoln	navigator 4wd	NULL	blue	NULL	NULL	45 , 576	$ 32  , 988	NULL	32  , 988
2001	ford	explorer spo	NULL	black	NULL	NULL	29 , 763	$ 15  , 988	NULL	15  , 988
2001	volvo	s40	NULL	red	NULL	NULL	33 , 003	$ 16  , 988	NULL	16  , 988
2001	mercury	villager est	NULL	green	NULL	NULL	35 , 897	$ 20  , 988	NULL	20  , 988
2001	lincoln	continentl	NULL	grey	NULL	NULL	23 , 899	$ 22  , 988	NULL	22  , 988
2001	lincoln	continentl	NULL	grey	NULL	NULL	23 , 899	$ 22  , 988	NULL	22  , 988
2001	lincoln	continentl	NULL	grey	NULL	NULL	23 , 899	$ 22  , 988	NULL	22  , 988
2001	lincoln	navigator 2wd	NULL	red	NULL	NULL	28 , 770	$ 28  , 988	NULL	28  , 988
2001	lincoln	navigator 2wd	NULL	red	NULL	NULL	28 , 770	$ 28  , 988	NULL	28  , 988
2001	lincoln	navigator 2wd	NULL	red	NULL	NULL	28 , 770	$ 28  , 988	NULL	28  , 988
2001	lincoln	navigator 2wd	NULL	null	NULL	NULL	38 , 590	$ 29  , 988	NULL	29  , 988
2001	lincoln	navigator 2wd	NULL	null	NULL	NULL	38 , 590	$ 29  , 988	NULL	29  , 988
2001	lincoln	navigator 2wd	NULL	null	NULL	NULL	38 , 590	$ 29  , 988	NULL	29  , 988
2001	lincoln	navigator 2wd	NULL	gold	NULL	NULL	33 , 858	$ 30  , 988	NULL	30  , 988
2001	lincoln	navigator 4wd	NULL	blue	NULL	NULL	45 , 576	$ 32  , 988	NULL	32  , 988
2001	lincoln	navigator 2wd	NULL	parch	NULL	NULL	25 , 727	$ 36  ,  988	NULL	36  ,  988
2001	lincoln	navigator 2wd	NULL	parch	NULL	NULL	25 , 727	$ 36  ,  988	NULL	36  ,  988
2001	lincoln	navigator 4wd	NULL	bq	NULL	NULL	45 , 000	NULL	NULL	NULL
2001	ford	focus zx3	NULL	dkblue	NULL	NULL	20 , 476	NULL	NULL	NULL
2001	lincoln	navigator 4wd	NULL	bq	NULL	NULL	45 , 000	NULL	NULL	NULL
2001	ford	focus zx3	NULL	dkblue	NULL	NULL	20 , 476	NULL	NULL	NULL
2002	ford	ranger 2wd	NULL	black	NULL	NULL	22 , 258	$ 14  , 988	NULL	14  , 988
2002	ford	ranger 2wd	NULL	black	NULL	NULL	22 , 258	$ 14  , 988	NULL	14  , 988
2002	ford	ranger 2wd	NULL	black	NULL	NULL	29 , 352	$ 16  , 988	NULL	16  , 988
2002	ford	ranger 2wd	NULL	black	NULL	NULL	29 , 352	$ 16  , 988	NULL	16  , 988
2002	mercury	gr marquis ls	NULL	blue	NULL	NULL	27 , 790	$ 20  , 988	NULL	20  , 988
2002	mercury	gr marquis ls	NULL	blue	NULL	NULL	27 , 790	$ 20  , 988	NULL	20  , 988
2002	mercury	mountainee 4x2	NULL	silver	NULL	NULL	31 , 607	$ 21  , 988	NULL	21  , 988
2002	mercury	mountainee 4x2	NULL	silver	NULL	NULL	31 , 607	$ 21  , 988	NULL	21  , 988
2002	lincoln	ls v6	NULL	black	NULL	NULL	28 , 461	$ 25  , 988	NULL	25  , 988
2002	lincoln	ls v6	NULL	black	NULL	NULL	28 , 461	$ 25  , 988	NULL	25  , 988
2002	lincoln	ls v6	NULL	black	NULL	NULL	28 , 461	$ 25  , 988	NULL	25  , 988
2002	lincoln	town car exe	NULL	grey	NULL	NULL	23 , 411	$ 26  , 988	NULL	26  , 988
2002	lincoln	town car exe	NULL	grey	NULL	NULL	23 , 411	$ 26  , 988	NULL	26  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	25 , 159	$ 27  , 988	NULL	27  , 988
2002	lincoln	town car sig	NULL	gold	NULL	NULL	26 , 944	$ 27  , 988	NULL	27  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	25 , 159	$ 27  , 988	NULL	27  , 988
2002	lincoln	town car sig	NULL	gold	NULL	NULL	26 , 944	$ 27  , 988	NULL	27  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	25 , 159	$ 27  , 988	NULL	27  , 988
2002	lincoln	town car sig	NULL	gold	NULL	NULL	26 , 944	$ 27  , 988	NULL	27  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	27 , 084	$ 29  , 988	NULL	29  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	27 , 084	$ 29  , 988	NULL	29  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	27 , 084	$ 29  , 988	NULL	29  , 988
2002	toyota	sequoia sr5	NULL	white	NULL	NULL	12 , 568	$ 30  , 988	NULL	30  , 988
2002	volvo	c70	NULL	tan	NULL	NULL	10 , 780	$ 32  , 988	NULL	32  , 988
2002	ford	ranger 2wd	NULL	black	NULL	NULL	29 , 352	$ 16  , 988	NULL	16  , 988
2002	ford	ranger 2wd	NULL	gold	NULL	NULL	26 , 045	$ 16  , 988	NULL	16  , 988
2002	mercury	gr marquis ls	NULL	blue	NULL	NULL	27 , 790	$ 20  , 988	NULL	20  , 988
2002	mercury	gr marquis ls	NULL	blue	NULL	NULL	27 , 790	$ 20  , 988	NULL	20  , 988
2002	mercury	gr marquis ls	NULL	blue	NULL	NULL	27 , 790	$ 20  , 988	NULL	20  , 988
2002	mercury	mountainee 4x2	NULL	silver	NULL	NULL	31 , 607	$ 21  , 988	NULL	21  , 988
2002	mercury	mountainee 4x2	NULL	silver	NULL	NULL	31 , 607	$ 21  , 988	NULL	21  , 988
2002	mercury	mountainee 4x2	NULL	silver	NULL	NULL	31 , 607	$ 21  , 988	NULL	21  , 988
2002	lincoln	ls v6	NULL	black	NULL	NULL	28 , 461	$ 25  , 988	NULL	25  , 988
2002	lincoln	town car exe	NULL	grey	NULL	NULL	23 , 411	$ 26  , 988	NULL	26  , 988
2002	lincoln	town car exe	NULL	grey	NULL	NULL	23 , 411	$ 26  , 988	NULL	26  , 988
2002	lincoln	town car exe	NULL	grey	NULL	NULL	23 , 411	$ 26  , 988	NULL	26  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	25 , 125	$ 27  , 988	NULL	27  , 988
2002	lincoln	town car sig	NULL	gold	NULL	NULL	26 , 944	$ 27  , 988	NULL	27  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	25 , 125	$ 27  , 988	NULL	27  , 988
2002	lincoln	town car sig	NULL	gold	NULL	NULL	26 , 944	$ 27  , 988	NULL	27  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	25 , 125	$ 27  , 988	NULL	27  , 988
2002	lincoln	town car sig	NULL	gold	NULL	NULL	26 , 944	$ 27  , 988	NULL	27  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	27 , 084	$ 29  , 988	NULL	29  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	27 , 084	$ 29  , 988	NULL	29  , 988
2002	lincoln	ls v8	NULL	gold	NULL	NULL	27 , 084	$ 29  , 988	NULL	29  , 988
2002	toyota	sequoia sr5	NULL	white	NULL	NULL	12 , 568	$ 30  , 988	NULL	30  , 988
2002	lincoln	ls v8	NULL	white	NULL	NULL	26 , 268	NULL	NULL	NULL
2002	lincoln	ls v8	NULL	white	NULL	NULL	26 , 268	NULL	NULL	NULL
2002	lincoln	ls v8	NULL	white	NULL	NULL	26 , 268	NULL	NULL	NULL
2002	lincoln	ls v8	NULL	white	NULL	NULL	26 , 268	NULL	NULL	NULL
2002	ford	f-150 2wd	NULL	blue	NULL	NULL	18 , 877	NULL	NULL	NULL
2002	chrysler	voyager lx	NULL	green	NULL	NULL	24 , 621	NULL	NULL	NULL
2002	lincoln	ls v8	NULL	white	NULL	NULL	26 , 268	NULL	NULL	NULL
2002	ford	f-150 2wd	NULL	blue	NULL	NULL	18 , 877	NULL	NULL	NULL
2002	chrysler	voyager lx	NULL	green	NULL	NULL	24 , 621	NULL	NULL	NULL
2002	lincoln	ls v8	NULL	white	NULL	NULL	26 , 268	NULL	NULL	NULL
2003	ford	focus lx	NULL	white	NULL	NULL	7 , 980	$ 12  , 988	NULL	12  , 988
2003	ford	focus lx	NULL	white	NULL	NULL	7 , 980	$ 12  , 988	NULL	12  , 988
2003	mercury	sable gs	NULL	gold	NULL	NULL	17 , 482	$ 15  , 988	NULL	15  , 988
2003	mercury	sable gs	NULL	silver	NULL	NULL	19 , 492	$ 15  , 988	NULL	15  , 988
2003	mercury	sable gs	NULL	gold	NULL	NULL	17 , 482	$ 15  , 988	NULL	15  , 988
2003	mercury	sable gs	NULL	silver	NULL	NULL	19 , 492	$ 15  , 988	NULL	15  , 988
2003	mercury	gr marquis ls	NULL	blue	NULL	NULL	19 , 620	$ 21  , 988	NULL	21  , 988
2003	mercury	gr marquis ls	NULL	spruce	NULL	NULL	22 , 069	$ 21  , 988	NULL	21  , 988
2003	mercury	gr marquis ls	NULL	silver	NULL	NULL	20 , 481	$ 21  , 988	NULL	21  , 988
2003	mercury	gr marquis ls	NULL	blue	NULL	NULL	19 , 620	$ 21  , 988	NULL	21  , 988
2003	mercury	gr marquis ls	NULL	spruce	NULL	NULL	22 , 069	$ 21  , 988	NULL	21  , 988
2003	mercury	gr marquis ls	NULL	silver	NULL	NULL	20 , 481	$ 21  , 988	NULL	21  , 988
2003	mercury	gr marquis ls	NULL	blue	NULL	NULL	19 , 620	$ 21  , 988	NULL	21  , 988
2003	mercury	gr marquis ls	NULL	spruce	NULL	NULL	22 , 069	$ 21  , 988	NULL	21  , 988
2003	mercury	gr marquis ls	NULL	silver	NULL	NULL	20 , 997	$ 21  , 988	NULL	21  , 988
2003	lincoln	town car exe	NULL	silver	NULL	NULL	20 , 005	$ 28  , 988	NULL	28  , 988
2003	lincoln	town car exe	NULL	silver	NULL	NULL	20 , 005	$ 28  , 988	NULL	28  , 988
2003	lincoln	town car exe	NULL	null	NULL	NULL	21 , 529	$ 29  , 988	NULL	29  , 988
2003	lincoln	town car exe	NULL	null	NULL	NULL	21 , 529	$ 29  , 988	NULL	29  , 988
2003	lincoln	town car sig	NULL	black	NULL	NULL	23 , 857	$ 32  , 988	NULL	32  , 988
2003	lincoln	town car sig	NULL	black	NULL	NULL	23 , 857	$ 32  , 988	NULL	32  , 988
2003	mercury	gr marquis ls	NULL	silver	NULL	NULL	17 , 588	$ 22  , 988	NULL	22  , 988
2003	mercury	gr marquis ls	NULL	silver	NULL	NULL	17 , 588	$ 22  , 988	NULL	22  , 988
2003	mercury	gr marquis ls	NULL	silver	NULL	NULL	17 , 588	$ 22  , 988	NULL	22  , 988
2003	lincoln	town car exe	NULL	white	NULL	NULL	23 , 025	$ 29  , 988	NULL	29  , 988
2003	lincoln	town car exe	NULL	white	NULL	NULL	23 , 025	$ 29  , 988	NULL	29  , 988
2003	lincoln	town car sig	NULL	white	NULL	NULL	16 , 778	$ 31  ,  988	NULL	31  ,  988
2003	lincoln	town car sig	NULL	white	NULL	NULL	16 , 778	$ 31  ,  988	NULL	31  ,  988
2003	lincoln	town car sig	NULL	black	NULL	NULL	23 , 857	$ 32  , 988	NULL	32  , 988
2003	lincoln	navigator 2wd	NULL	red	NULL	NULL	19 , 780	$ 42  , 988	NULL	42  , 988
2003	lincoln	navigator 2wd	NULL	null	NULL	NULL	21 , 806	NULL	NULL	NULL
2003	lincoln	town car sig	NULL	white	NULL	NULL	20 , 866	NULL	NULL	NULL
NULL	lincoln	navigator 2wd	NULL	silver	NULL	NULL	59 , 394	NULL	NULL	NULL
NULL	toyota	sequoia sr5	NULL	white	NULL	NULL	12 , 383	NULL	NULL	NULL
NULL	lincoln	navigator 2wd	NULL	null	NULL	NULL	30 , 000	NULL	NULL	NULL
