"id","domain","url","tablename","lastupdate"
1,"geospatial","http://geocoder.us/","geospatial1","2008-09-23 09:11:07"
2,"geospatial","http://geocoder.ca/","geospatial2","2008-09-23 09:33:13"
3,"weather","http://www.wunderground.com/","weather3","2008-09-23 09:52:47"
4,"weather","http://www.wunderground.com/cgi-bin/findweather/getForecast?addfav=","weather4","2008-09-23 09:59:14"
5,"weather","http://www.wunderground.com/tropical/","weather5","2008-09-23 10:22:10"
6,"weather","http://www.wunderground.com/radar/map.asp","weather6","2008-09-23 10:26:43"
7,"weather","http://weather.unisys.com/","weather7","2008-09-23 10:26:56"
8,"weather","http://www.timetemperature.com/","weather8","2008-09-23 10:36:18"
