0:PR-Day	1:PR-MonthNumber	2:PR-Year	3:PR-Day	4:PR-MonthNumber	5:PR-Year	6:PR-City	7:PR-HotelName	8:CT-Street:PR-StreetNumber	8:CT-Street:PR-StreetNumberDirection	8:CT-Street:PR-StreetName	8:CT-Street:PR-StreetType	8:CT-Street:PR-StreetDirection	9:PR-City	10:PR-State-Abbr	11:PR-ZipCode5Digit	12:PR-Price	13:PR-HotelAmenity	14:PR-HotelURL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	First Class Hotel	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Pets accepted	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Golf	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	First Class Hotel	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Golf	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Woodland Hills & Towers	6360	NULL	Canoga	Avenue	NULL	Woodland Hills	CA	91367	99.00	Dry cleaning/laundry	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Pets accepted	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Dry cleaning/laundry	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Golf	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	First Class Hotel	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Burbank Airport & Convention Center	2500	NULL	Hollywood	Way	NULL	Burbank	CA	91505	139.02	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Golf	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	First Class Hotel	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Golf	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles North/Glendale	100	West	Glenoaks	Boulevard	NULL	Glendale	CA	91202	129.27	Dry cleaning/laundry	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Pets accepted	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Luxury	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	All Suites	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Le Parc Suites Hotel A Summit Hotel	733	North West	Knoll	Drive	NULL	West Hollywood	CA	90069	215.00	Dry cleaning/laundry	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Pets accepted	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Dry cleaning/laundry	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Golf	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	First Class Hotel	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Beverly Hilton	9876	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90210	195.12	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Pets accepted	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Dry cleaning/laundry	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Golf	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	First Class Hotel	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Pasadena	168	South	Los Robles	Avenue	NULL	Pasadena	CA	91101	139.00	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Express Universal City	3241	NULL	Cahuenga	Boulevard	NULL	Los Angeles	CA	90068	129.00	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Express Universal City	3241	NULL	Cahuenga	Boulevard	NULL	Los Angeles	CA	90068	129.00	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Express Universal City	3241	NULL	Cahuenga	Boulevard	NULL	Los Angeles	CA	90068	129.00	Room service	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Express Universal City	3241	NULL	Cahuenga	Boulevard	NULL	Los Angeles	CA	90068	129.00	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Express Universal City	3241	NULL	Cahuenga	Boulevard	NULL	Los Angeles	CA	90068	129.00	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Express Universal City	3241	NULL	Cahuenga	Boulevard	NULL	Los Angeles	CA	90068	129.00	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Pets accepted	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Hollywood Hills Hotel	6141	NULL	Franklin	Avenue	NULL	Hollywood	CA	90028	111.26	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Luxury	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Best Western Beverly Pavilion	9360	NULL	Wilshire	Boulevard	NULL	Beverly Hills	CA	90212	137.50	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Checkers Los Angeles	535	South	Grand	Avenue	NULL	Los Angeles	CA	90071	129.00	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Checkers Los Angeles	535	South	Grand	Avenue	NULL	Los Angeles	CA	90071	129.00	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Checkers Los Angeles	535	South	Grand	Avenue	NULL	Los Angeles	CA	90071	129.00	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Checkers Los Angeles	535	South	Grand	Avenue	NULL	Los Angeles	CA	90071	129.00	Dry cleaning/laundry	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Checkers Los Angeles	535	South	Grand	Avenue	NULL	Los Angeles	CA	90071	129.00	Fitness center	NULL
