0:PR-Day	1:PR-MonthNumber	2:PR-Year	3:PR-Day	4:PR-MonthNumber	5:PR-Year	6:PR-City	7:PR-HotelName	8:CT-Street:PR-StreetNumber	8:CT-Street:PR-StreetNumberDirection	8:CT-Street:PR-StreetName	8:CT-Street:PR-StreetType	8:CT-Street:PR-StreetDirection	9:PR-City	10:PR-State-Abbr	11:PR-ZipCode5Digit	12:PR-Price	13:PR-HotelAmenity	14:PR-HotelURL
10	8	2007	12	8	2007	Los Angeles	Comfort Inn & Suites Hollywood	2010	N	Highland	Avenue	NULL	Hollywood	CA	90068	149.95	Family Rooms	www.comfortInn.com
5	5	2007	10	5	2007	Chicago	Comfort Inn & Suites Hollywood	2010	N	Highland	Avenue	NULL	Hollywood	CA	90068	149.95	Swimming pool	www.comfortInn.com
25	3	2007	27	3	2007	Seattle	Comfort Inn & Suites Hollywood	2010	N	Highland	Avenue	NULL	Hollywood	CA	90068	149.95	Non-smoking rooms	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Comfort Inn & Suites Hollywood	2010	N	Highland	Avenue	NULL	Hollywood	CA	90068	149.95	Room service	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Comfort Inn & Suites Hollywood	2010	N	Highland	Avenue	NULL	Hollywood	CA	90068	149.95	Wheelchair accessible	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Comfort Inn & Suites Hollywood	2010	N	Highland	Avenue	NULL	Hollywood	CA	90068	149.95	Data port	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Comfort Inn & Suites Hollywood	2010	N	Highland	Avenue	NULL	Hollywood	CA	90068	149.95	Swimming pool	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Comfort Inn & Suites Hollywood	2010	N	Highland	Avenue	NULL	Hollywood	CA	90068	149.95	Meeting rooms,	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Days Inn Hollywood near Universal Studios	NULL	NULL	NULL	NULL	NULL	Hollywood	CA	90028	99.95	Family Rooms	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Days Inn Hollywood near Universal Studios	NULL	NULL	NULL	NULL	NULL	Hollywood	CA	90028	99.95	Wheelchair accessible	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Days Inn Hollywood near Universal Studios	NULL	NULL	NULL	NULL	NULL	Hollywood	CA	90028	99.95	Room service	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Days Inn Hollywood near Universal Studios	NULL	NULL	NULL	NULL	NULL	Hollywood	CA	90028	99.95	Non-smoking rooms	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Days Inn Hollywood near Universal Studios	NULL	NULL	NULL	NULL	NULL	Hollywood	CA	90028	99.95	Wheelchair accessible	www.comfortInn.com
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Swimming pool	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Non-smoking rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Restaurant	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Holiday Inn Universal Studios	4222	NULL	Vineland	Avenue	NULL	North Hollywood	CA	91602	113.00	Data port	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Pets accepted	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Fitness center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Wheelchair accessible	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Meeting rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Dry cleaning/laundry	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Family Rooms	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Golf	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Business center	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hilton Los Angeles Airport	5711	West	Century	Boulevard	NULL	Los Angeles	CA	90045	89.10	Non-smoking rooms	NULL
