"tablename","argumentname","semantictype","score","direction"
"geospatial1","address","CT-Address",-1,"IN"
"geospatial1","column2","CT-Street",20.1478672027588,"OUT"
"geospatial1","column4","CT-CityStateZip",27.3806762695313,"OUT"
"geospatial1","column30","PR-Latitude",95.3333358764648,"OUT"
"geospatial1","column34","PR-Longitude",95.3333358764648,"OUT"
"geospatial1","column49","CT-Address",16.7777786254883,"OUT"
"geospatial2","longitude","PR-Longitude",-1,"IN"
"geospatial2","latitude","PR-Latitude",-1,"IN"
"geospatial2","column1","CT-Street",9.19243240356445,"OUT"
"geospatial2","column2","PR-Latitude",88,"OUT"
"geospatial2","column22","PR-Longitude",16,"OUT"
"geospatial2","column58","CT-CityState",12.2420272827148,"OUT"
"geospatial2","column59","CT-Address",1.13333332538605,"OUT"
"geospatial3","addr","CT-Address",-1,"IN"
"geospatial3","column11","CT-Address",16.7916679382324,"OUT"
"geospatial3","column13","PR-State-Abbr",22,"OUT"
"geospatial3","column14","CT-CityStateZip",7.04840564727783,"OUT"
"geospatial3","column17","CT-Street",5.02267265319824,"OUT"
"geospatial3","column27","PR-Longitude",95.3333358764648,"OUT"
"geospatial3","column28","PR-Latitude",88,"OUT"
"geospatial4","locate","CT-Address",-1,"IN"
"geospatial4","column0","CT-Address",6.80952405929565,"OUT"
"geospatial4","column5","CT-CityState",12,"OUT"
"geospatial4","column8","PR-State-Abbr",18,"OUT"
"geospatial4","column12","CT-Street",16.8426990509033,"OUT"
"geospatial4","column19","PR-Latitude",88,"OUT"
"geospatial4","column23","PR-Longitude",10.6666669845581,"OUT"
