0:PR-Place	1:PR-AirportName	2:PR-Latitude	3:PR-Longitude	4:PR-LatitudeDMS	5:PR-LongitudeDMS	6:PR-LatitudeDMS-D	7:PR-LongitudeDMS-D	8:PR-ZipCode5Digit	9:PR-ZipCode5Plus4Digit	10:CT-Street:PR-StreetNumber	10:CT-Street:PR-StreetNumberDirection	10:CT-Street:PR-StreetName	10:CT-Street:PR-StreetType	10:CT-Street:PR-StreetDirection	11:PR-City	11:PR-State-Abbr	12:PR-StateName	13:CT-DistanceMiles:PR-QuantitativeValue	13:CT-DistanceMiles:PR-UnitMiles	14:CT-DistanceMiles:PR-QuantitativeValue
Whitley G	NULL	34.71239	-83.83438	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2460.18	miles	2460.18
Kephart	NULL	35.61441	-83.36812	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1131.78	miles	1131.78
Laurel Gap	NULL	35.66582	-83.1866	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2406.67	miles	2406.67
Mt Le Cont	NULL	35.65271	-83.4338	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	273.51	miles	273.51
Black Gap	NULL	34.61756	-84.1988	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	207.28	miles	207.28
Madison Sp	NULL	44.32776	-71.28348	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1376.57	miles	1376.57
Crag Camp	NULL	44.33495	-71.30257	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	959.73	miles	959.73
Gray Knob	NULL	44.3323	-71.31059	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2526.60	miles	2526.60
The Perch	NULL	44.3245	-71.31103	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9.78	miles	9.78
Lake of Cl	NULL	44.25894	-71.31934	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	849.87	miles	849.87
Hermit Lk1	NULL	44.26113	-71.28685	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	360.30	miles	360.30
Hermit Lk2	NULL	44.26134	-71.28643	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1261.40	miles	1261.40
Crawford N	NULL	44.22014	-71.41171	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2384.24	miles	2384.24
Hexacuba	NULL	43.874	-72.02952	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	597.17	miles	597.17
Gifford W	NULL	43.6761	-72.8117	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	950.96	miles	950.96
Old Job	NULL	43.35407	-72.92894	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2340.14	miles	2340.14
William B	NULL	43.1445	-72.99142	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	552.31	miles	552.31
S Bourn P	NULL	43.10342	-73.00564	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	204.77	miles	204.77
