0:PR-Airline	1:PR-FlightNumber	2:CT-Airport:PR-City	2:CT-Airport:PR-Country	2:CT-Airport:PR-State-Abbr	2:CT-Airport:PR-Airport-IataCode	3:CT-Time:PR-Hours	3:CT-Time:PR-Minutes	3:CT-Time:PR-TimeMeridian	4:CT-Date:PR-Day	4:CT-Date:PR-MonthName	5:PR-FlightBaggageClaim	6:PR-FlightGateNumber
United Airlines	1425	Denver	NULL	CO	DEN	7	0	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	25	New York-Kennedy	NULL	NY	JFK	5	24	pm	14	Jul	1	75B
United Airlines	791	Seattle/Tacoma	NULL	WA	SEA	6	34	pm	13	Jun	CHK	71
United Airlines	993	Seattle/Tacoma	NULL	WA	SEA	11	55	am	13	Jun	2	73A
Northwest Airlines	1125	Buffalo	NULL	NY	BUF	1	0	pm	13	Jun	Not provided by airline	A19
American Airlines	3999	Chicago-Ohare	NULL	IL	ORD	11	52	am	13	Jun	1	C12
Alaska Airlines	558	Seattle/Tacoma	NULL	WA	SEA	9	15	pm	13	Jun	Not provided by airline	Not provided by airline
Northwest Airlines	1119	Buffalo	NULL	NY	BUF	5	2	pm	13	Jun	Not provided by airline	A21
Alaska Airlines	884	Fairbanks Intl	NULL	AK	FAI	8	30	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	104	Fairbanks Intl	NULL	AK	FAI	6	0	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	146	Barrow	NULL	AK	BRW	7	49	pm	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	202	Seattle/Tacoma	NULL	WA	SEA	8	32	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	102	Fairbanks Intl	NULL	AK	FAI	10	44	am	13	Jun	Not provided by airline	Not provided by airline
United Airlines	198	Seattle/Tacoma	NULL	WA	SEA	6	11	am	13	Jun	CHK	75
Alaska Airlines	144	Barrow	NULL	AK	BRW	10	1	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	104	Fairbanks Intl	NULL	AK	FAI	6	0	am	13	Jun	Not provided by airline	Not provided by airline
Northwest Airlines	1125	Buffalo	NULL	NY	BUF	1	0	pm	13	Jun	Not provided by airline	A19
United Airlines	1237	Seattle/Tacoma	NULL	WA	SEA	1	43	pm	13	Jun	3	71
Alaska Airlines	2475	Portland	NULL	OR	PDX	9	30	pm	13	Jun	Not provided by airline	Not provided by airline
American Airlines	4316	Miami	NULL	FL	MIA	11	52	am	13	Jun	Not provided by airline	C10
Alaska Airlines	580	Seattle/Tacoma	NULL	WA	SEA	11	28	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	884	Fairbanks Intl	NULL	AK	FAI	8	30	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	550	Seattle/Tacoma	NULL	WA	SEA	7	25	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	822	Fairbanks Intl	NULL	AK	FAI	2	44	pm	13	Jun	Not provided by airline	Not provided by airline
Northwest Airlines	1123	Buffalo	NULL	NY	BUF	3	19	pm	13	Jun	Not provided by airline	A67
Alaska Airlines	104	Fairbanks Intl	NULL	AK	FAI	6	0	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	884	Fairbanks Intl	NULL	AK	FAI	8	30	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	316	Seattle/Tacoma	NULL	WA	SEA	1	16	pm	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	144	Barrow	NULL	AK	BRW	10	1	am	13	Jun	Not provided by airline	Not provided by airline
Northwest Airlines	1129	Buffalo	NULL	NY	BUF	9	40	am	13	Jun	Not provided by airline	A19
American Airlines	1033	Nashville	NULL	TN	BNA	6	49	am	13	Jun	21	D47
Northwest Airlines	1119	Buffalo	NULL	NY	BUF	5	2	pm	13	Jun	Not provided by airline	A21
Alaska Airlines	116	Fairbanks Intl	NULL	AK	FAI	6	30	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	140	Fairbanks Intl	NULL	AK	FAI	8	45	pm	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	562	Seattle/Tacoma	NULL	WA	SEA	7	42	pm	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	884	Fairbanks Intl	NULL	AK	FAI	8	30	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	498	Seattle/Tacoma	NULL	WA	SEA	5	55	pm	13	Jun	Not provided by airline	Not provided by airline
United Airlines	156	Seattle/Tacoma	NULL	WA	SEA	3	31	pm	13	Jun	3	85
Alaska Airlines	112	Fairbanks Intl	NULL	AK	FAI	7	35	pm	13	Jun	Not provided by airline	Not provided by airline
United Airlines	156	Seattle/Tacoma	NULL	WA	SEA	3	31	pm	13	Jun	3	85
Northwest Airlines	1980	Buffalo	NULL	NY	BUF	6	56	am	13	Jun	Not provided by airline	A29
Alaska Airlines	1290	Los Angeles	NULL	CA	LAX	7	35	pm	13	Jun	Not provided by airline	Not provided by airline
Northwest Airlines	4149	Seattle/Tacoma	NULL	WA	SEA	8	40	pm	13	Jun	Not provided by airline	Not provided by airline
American Airlines	493	Miami	NULL	FL	MIA	10	5	am	13	Jun	A28	A24/A
Northwest Airlines	1129	Buffalo	NULL	NY	BUF	9	40	am	13	Jun	Not provided by airline	A19
Northwest Airlines	1980	Buffalo	NULL	NY	BUF	6	56	am	13	Jun	Not provided by airline	A29
Alaska Airlines	498	Seattle/Tacoma	NULL	WA	SEA	5	55	pm	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	453	Los Angeles	NULL	CA	LAX	6	15	pm	13	Jun	Not provided by airline	Not provided by airline
United Airlines	198	Seattle/Tacoma	NULL	WA	SEA	6	11	am	13	Jun	CHK	75
United Airlines	993	Seattle/Tacoma	NULL	WA	SEA	11	55	am	13	Jun	2	73A
Alaska Airlines	596	Seattle/Tacoma	NULL	WA	SEA	8	40	pm	13	Jun	Not provided by airline	Not provided by airline
Northwest Airlines	1121	Buffalo	NULL	NY	BUF	7	8	pm	13	Jun	Not provided by airline	A11
United Airlines	239	Seattle/Tacoma	NULL	WA	SEA	7	0	pm	13	Jun	CHK	82
Alaska Airlines	884	Fairbanks Intl	NULL	AK	FAI	8	30	am	13	Jun	Not provided by airline	Not provided by airline
United Airlines	239	Seattle/Tacoma	NULL	WA	SEA	7	0	pm	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	816	Seattle/Tacoma	NULL	WA	SEA	6	10	am	13	Jun	Not provided by airline	Not provided by airline
Alaska Airlines	520	Seattle/Tacoma	NULL	WA	SEA	9	21	am	13	Jun	Not provided by airline	Not provided by airline
United Airlines	729	Seattle/Tacoma	NULL	WA	SEA	10	15	am	13	Jun	2	71
Alaska Airlines	202	Seattle/Tacoma	NULL	WA	SEA	8	32	am	13	Jun	Not provided by airline	Not provided by airline
NULL	NULL	Los Angeles	NULL	CA	LAX	6	0	pm	14	Jul	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	8	14	am	14	Jul	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	3	31	pm	14	Jul	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	7	4	am	14	Jul	NULL	NULL
NULL	NULL	Washington DC-Dulles	NULL	NULL	IAD	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Honolulu	NULL	HI	HNL	9	3	am	14	Jul	NULL	NULL
NULL	NULL	Denver	NULL	CO	DEN	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	1	40	pm	14	Jul	NULL	NULL
NULL	NULL	Honolulu	NULL	HI	HNL	11	52	am	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	9	34	am	14	Jul	NULL	NULL
NULL	NULL	Philadelphia	NULL	PA	PHL	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Pittsburgh	NULL	PA	PIT	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Denver	NULL	CO	DEN	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	8	42	am	14	Jul	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Washington DC-Dulles	NULL	NULL	IAD	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Chicago-Ohare	NULL	IL	ORD	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	2	21	pm	14	Jul	NULL	NULL
NULL	NULL	Honolulu	NULL	HI	HNL	12	13	pm	14	Jul	NULL	NULL
NULL	NULL	Honolulu	NULL	HI	HNL	12	8	pm	14	Jul	NULL	NULL
NULL	NULL	Honolulu	NULL	HI	HNL	9	20	am	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	Not Available	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	7	18	am	14	Jul	NULL	NULL
NULL	NULL	Des Moines	NULL	IA	DSM	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	12	0	noon	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	9	52	am	14	Jul	NULL	NULL
NULL	NULL	Denver	NULL	CO	DEN	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	6	52	am	14	Jul	NULL	NULL
NULL	NULL	Las Vegas	NULL	NV	LAS	Contact Airline	NULL	NULL	14	Jul	NULL	NULL
NULL	NULL	Los Angeles	NULL	CA	LAX	5	24	pm	14	Jul	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	11	55	am	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	12	58	pm	13	Jun	NULL	NULL
NULL	NULL	Nashville	NULL	TN	BNA	11	49	am	13	Jun	NULL	NULL
NULL	NULL	San Diego	NULL	CA	SAN	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	5	25	pm	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	8	33	am	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	5	56	am	13	Jun	NULL	NULL
NULL	NULL	Fairbanks Intl	NULL	AK	FAI	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	8	45	am	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	10	57	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	6	11	am	13	Jun	NULL	NULL
NULL	NULL	Fairbanks Intl	NULL	AK	FAI	10	16	am	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	5	56	am	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	12	58	pm	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	1	43	pm	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	Nashville	NULL	TN	BNA	11	52	am	13	Jun	NULL	NULL
NULL	NULL	San Diego	NULL	CA	SAN	11	32	am	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	8	33	am	13	Jun	NULL	NULL
NULL	NULL	San Diego	NULL	CA	SAN	7	49	am	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	2	48	pm	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	3	24	pm	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	5	56	am	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	8	33	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	1	29	pm	13	Jun	NULL	NULL
NULL	NULL	Fairbanks Intl	NULL	AK	FAI	10	16	am	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	9	34	am	13	Jun	NULL	NULL
NULL	NULL	Miami	NULL	FL	MIA	6	47	am	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	5	25	pm	13	Jun	NULL	NULL
NULL	NULL	Seattle/Tacoma	NULL	WA	SEA	6	17	am	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	San Diego	NULL	CA	SAN	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	8	33	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	3	31	pm	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	7	47	pm*	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	3	31	pm	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	6	52	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	Dallas/Ft Worth	NULL	TX	DFW	9	59	am	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	9	34	am	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	6	52	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	Portland	NULL	OR	PDX	7	33	pm*	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	6	11	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	11	55	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	Detroit	NULL	MI	DTW	7	1	pm	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Not Available	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	Anchorage	NULL	AK	ANC	8	33	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	Contact Airline	NULL	NULL	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	6	7	am	13	Jun	NULL	NULL
NULL	NULL	San Diego	NULL	CA	SAN	9	15	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	10	15	am	13	Jun	NULL	NULL
NULL	NULL	San Francisco	NULL	CA	SFO	8	45	am	13	Jun	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	7	30	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	24	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	11	15	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	7	31	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	57	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	2	29	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	12	50	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	10	26	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	38	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	7	30	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	7	37	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	12	22	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	11	54	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	7	29	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	1	36	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	40	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	7	47	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	2	12	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	1	15	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	11	56	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	6	14	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	29	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	6	58	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	6	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	10	46	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	11	44	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	11	20	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	6	58	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	2	12	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	11	15	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	1	5	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	2	9	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	29	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	10	9	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	3	43	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	4	27	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	6	58	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	29	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	3	26	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	11	20	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	10	52	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	55	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	6	14	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	11	7	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	36	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	10	27	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	29	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	2	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	34	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	9	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	47	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	10	51	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	12	4	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	10	52	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	9	am	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	2	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	26	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	Not Available	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	10	51	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	14	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	8	57	pm	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	9	29	am	NULL	NULL	NULL	NULL
