0:PR-Airline	1:PR-FlightNumber	2:CT-Airport:PR-City	2:CT-Airport:PR-Country	2:CT-Airport:PR-State-Abbr	2:CT-Airport:PR-Airport-IataCode	3:CT-Time:PR-Hours	3:CT-Time:PR-Minutes	3:CT-Time:PR-TimeMeridian	4:CT-Date:PR-Day	4:CT-Date:PR-MonthName	5:PR-FlightBaggageClaim	6:PR-FlightGateNumber
United Airlines	839	New York-Kennedy	NULL	NY	JFK	6	0	pm	14	Jul	1	75A
United Airlines	71	New York-Kennedy	NULL	NY	JFK	8	14	am	14	Jul	4	87
United Airlines	886	Osaka Kansai	Japan	NULL	KIX	3	31	pm	14	Jul	CHK	99
United Airlines	5	New York-Kennedy	NULL	NY	JFK	7	4	am	14	Jul	4	83
United Airlines	5217	New York-Kennedy	NULL	NY	JFK	6	10	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	53	Los Angeles	NULL	CA	LAX	9	3	am	14	Jul	CHK	8
United Airlines	1472	Las Vegas	NULL	NV	LAS	6	40	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	1485	Las Vegas	NULL	NV	LAS	10	11	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	6551	Phoenix	NULL	AZ	PHX	6	12	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	1483	Las Vegas	NULL	NV	LAS	7	55	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	858	Shanghai Pu Dong	China	NULL	PVG	1	40	pm	14	Jul	CHK	96
United Airlines	43	Denver	NULL	CO	DEN	11	52	am	14	Jul	CHK	8
United Airlines	215	Washington DC-Dulles	NULL	NULL	IAD	9	34	am	14	Jul	1	73
United Airlines	2657	Phoenix	NULL	AZ	PHX	7	0	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	1876	Phoenix	NULL	AZ	PHX	6	0	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	1412	Las Vegas	NULL	NV	LAS	7	35	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	191	Washington DC-Dulles	NULL	NULL	IAD	8	42	am	14	Jul	1	75A
United Airlines	1503	Las Vegas	NULL	NV	LAS	8	5	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	5217	New York-Kennedy	NULL	NY	JFK	6	10	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	1505	Las Vegas	NULL	NV	LAS	6	15	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	1532	Phoenix	NULL	AZ	PHX	7	5	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	11	New York-Kennedy	NULL	NY	JFK	2	21	pm	14	Jul	1	73
United Airlines	61	San Francisco	NULL	CA	SFO	12	13	pm	14	Jul	CHK	9
United Airlines	55	Los Angeles	NULL	CA	LAX	12	8	pm	14	Jul	CHK	6
United Airlines	59	San Francisco	NULL	CA	SFO	9	20	am	14	Jul	CHK	7
United Airlines	29	New York-Kennedy	NULL	NY	JFK	8	55	pm	14	Jul	1	77
United Airlines	1481	Las Vegas	NULL	NV	LAS	6	28	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	15	New York-Kennedy	NULL	NY	JFK	7	18	am	14	Jul	1	75B
United Airlines	7715	Chicago-Ohare	NULL	IL	ORD	12	20	pm	14	Jul	Not provided by airline	Not provided by airline
United Airlines	19	New York-Kennedy	NULL	NY	JFK	12	0	noon	14	Jul	1	76
United Airlines	17	New York-Kennedy	NULL	NY	JFK	9	52	am	14	Jul	1	77
United Airlines	1540	Phoenix	NULL	AZ	PHX	6	0	am	14	Jul	Not provided by airline	Not provided by airline
United Airlines	306	Oakland	NULL	CA	OAK	6	52	am	14	Jul	4	75B
