0:PR-Airline	1:PR-FlightNumber	2:CT-Airport:PR-City	2:CT-Airport:PR-State-Abbr	2:CT-Airport:PR-Country	2:CT-Airport:PR-Airport-IataCode	3:CT-Date:PR-MonthNumber	3:CT-Date:PR-Day	3:CT-Date:PR-Year	4:CT-Time:PR-Hours	4:CT-Time:PR-Minutes	4:CT-Time:PR-TimeMeridian	5:CT-Duration:PR-Hours	5:CT-Duration:PR-Minutes	6:PR-Aircraft	7:CT-Altitude:PR-QuantitativeValue	7:CT-Altitude:PR-UnitFeet	8:PR-FlightStatus	NULL
American	1033	Nashville	TN	NULL	BNA	06	13	2005	07	01	AM	00	00	Boeing 737-800	0	feet	Arrived	NULL	NULL
American Eagle	335	Nashville	TN	NULL	BNA	06	13	2005	02	06	PM	00	00	E135	0	feet	Arrived	NULL	NULL
Alaska	562	Seattle	WA	NULL	SEA	06	12	2005	09	20	PM	00	00	Boeing 737-400	0	feet	Arrived	NULL	NULL
Alaska	550	Seattle	WA	NULL	SEA	06	13	2005	08	07	AM	00	00	Boeing 737-400	0	feet	Arrived	NULL	NULL
Alaska	520	Seattle	WA	NULL	SEA	06	13	2005	09	33	AM	00	00	MD82	0	feet	Arrived	NULL	NULL
Alaska	590	Seattle	WA	NULL	SEA	06	13	2005	06	53	AM	00	00	Boeing 737-700	0	feet	Arrived	NULL	NULL
Alaska	558	Seattle	WA	NULL	SEA	06	12	2005	09	39	PM	00	00	MD83	0	feet	Arrived	NULL	NULL
Alaska	580	Seattle	WA	NULL	SEA	06	13	2005	11	50	AM	00	00	MD83	0	feet	Arrived	NULL	NULL
Alaska	140	Fairbanks	AK	NULL	FAI	06	12	2005	09	27	PM	00	00	Boeing 737 Stage 3	0	feet	Arrived	NULL	NULL
Alaska	146	Barrow	AK	NULL	BRW	06	12	2005	09	09	PM	00	00	Boeing 737 Stage 3	0	feet	Arrived	NULL	NULL
Alaska	884	Anchorage	AK	NULL	ANC	06	13	2005	10	26	AM	00	00	Boeing 737-400	0	feet	Arrived	NULL	NULL
Alaska	884	Fairbanks	AK	NULL	FAI	06	13	2005	08	45	AM	00	00	Boeing 737-400	0	feet	Arrived	NULL	NULL
Alaska	104	Portland	OR	NULL	PDX	06	13	2005	01	42	PM	00	07	Boeing 737-400	33,000	feet	In Flight	NULL	NULL
Alaska	104	Anchorage	AK	NULL	ANC	06	13	2005	08	08	AM	00	00	Boeing 737-400	0	feet	Arrived	NULL	NULL
Alaska	104	Fairbanks	AK	NULL	FAI	06	13	2005	06	13	AM	00	00	Boeing 737-400	0	feet	Arrived	NULL	NULL
Alaska	102	Anchorage	AK	NULL	ANC	06	13	2005	12	50	PM	02	14	Boeing 737-400	31,000	feet	In Flight	NULL	NULL
Alaska	102	Fairbanks	AK	NULL	FAI	06	13	2005	11	07	AM	00	00	Boeing 737-400	0	feet	Arrived	NULL	NULL
Alaska	144	Fairbanks	AK	NULL	FAI	06	13	2005	12	03	PM	00	00	Boeing 737 Stage 3	0	feet	Arrived	NULL	NULL
Alaska	144	Barrow	AK	NULL	BRW	06	13	2005	10	25	AM	00	00	Boeing 737 Stage 3	0	feet	Arrived	NULL	NULL
Alaska	822	Fairbanks	AK	NULL	FAI	06	13	2005	02	59	PM	NULL	NULL	Boeing 737-400	0	feet	Planned	NULL	NULL
Alaska	112	Anchorage	AK	NULL	ANC	06	13	2005	09	42	PM	NULL	NULL	Current Altitude	0	feet	Scheduled	NULL	NULL
Alaska	112	Fairbanks	AK	NULL	FAI	06	13	2005	07	48	PM	NULL	NULL	Current Altitude	0	feet	Scheduled	NULL	NULL
Alaska Central Express	12	Fairbanks	AK	NULL	FAI	06	13	2005	10	15	PM	NULL	NULL	Current Altitude	0	feet	Scheduled	NULL	NULL
