0:PR-Authors	1:PR-ArticleName	2:PR-Conference
Yoav Freund and Robert E. Schapire	Experiments with a New Boosting Algorithm	International Conference on Machine Learning
A. Chavez and P. Maes	Kasbah: An agent marketplace for buying and selling goods	First International Conference on the Practical Application of Intelligent Agents and Multi-Agent Technology (PAAM'96)
Ron Kohavi and George H. John	Wrappers for feature subset selection	Artificial Intelligence
D. Embley and S. Jiang and Y. Ng	Record-boundary discovery in Web documents	Proc. 1999 ACM SIGMOD International Conference on Management of Data
D. W. Embley and Y. Jiang and Y.-K. Ng	Record-boundary discovery in Web documents	NULL
Mike Uschold	Building Ontologies: Towards a Unified Methodology	16th Annual Conf. of the British Computer Society Specialist Group on Expert Systems
A. Doan and J. Madhaven and R. Dhamankar and P. Domingos and A. Helevy	Learning to match ontologies on the semantic web	VLDB Journal (Special Issue on the Semantic Web)
P. Bouquet and L. Serafini and S. Zanobini	Semantic coordination: a new approach and an application	In Proc. of the 2nd International Semantic Web Conference (ISWO'03)
Marc Ehrig and Peter Haase and Ronny Siebes and Steffen Staab and Heiner Stuckenschmidt and Rudi Studer and Christoph Tempich	The SWAP Data and Metadata Model for Semantics-Based Peer-to-Peer Systems	NULL
J. Broekstra	A metadata model for semantics-based peer-to-peer systems	Semantics in Peer-toPeer and Grid Computing
A. Doan	Learning to map between structured representations of Data	NULL
A. Doan and J. Madhavan and P. Domingos and A. Halevy	Ontology matching: A machine learning approach	Handbook on Ontologies in Information Systems. Springer
A. Halevy and J. Madhavan	Corpus-based knowledge representation	In Proceedings of the International Joint Conference on Artificial Intelligence
C. Zhou and L. Chia and B. Lee	Service Discovery and Measurement based on DAML-QoS Ontology	In Special Interest Tracks and Posters of 14th World Wide Web Conference
V. Agarwal and K. Dasgupta and N. Karnik and A. Kumar and A. Kundu and S. Mittal and B. Srivastava	A service creation environment based on end to end composition of web services	NULL
Composition Of Web	A Service Creation Environment Based on End to End	NULL
Alignment Coordinator Jrme	D2.2.3: State of the art on ontology	NULL
Benchmarking Methodology For	D2.2.2: Specification of a	NULL
P. Bouquet and L. Serafini and S. Zanobini	Coordinating Semantic Peers	NULL
P. Bouquet and L. Serafini and S. Zanobini	Semantic Coordination In Systems Of Autonomous Agents: The Approach And An Implementation	NULL
Leslie Pack Kaelbling and Michael L. Littman and Andrew P. Moore	Reinforcement Learning: A Survey	Journal of Artificial Intelligence Research
George H. John and Ron Kohavi and Karl Pfleger	Irrelevant Features and the Subset Selection Problem	International Conference on Machine Learning
Sebastian Thrun and Wolfram Burgard and Dieter Fox	A Probabilistic Approach to Concurrent Mapping and Localization for Mobile Robots	Machine Learning
Thomas G. Dietterich	An Experimental Comparison of Three Methods for Constructing Ensembles of Decision Trees: Bagging, Boosting, and Randomization	Machine Learning
Sreerama K. Murthy and Simon Kasif and Steven Salzberg	A System for Induction of Oblique Decision Trees	Journal of Artificial Intelligence Research
Kamal Nigam and Andrew K. McCallum and Sebastian Thrun and Tom M. Mitchell	Text Classification from Labeled and Unlabeled Documents using EM	Machine Learning
Pedro Domingos and Michael J. Pazzani	On the Optimality of the Simple Bayesian Classifier under Zero-One Loss	Machine Learning
Ming-Syan Chen and Jiawei Han and Philip S. Yu	Data mining: an overview from a database perspective	Ieee Trans. On Knowledge And Data Engineering
