0:PR-RestaurantName	1:CT-Phone:PR-AreaCode	1:CT-Phone:PR-7DigitPhoneNumber	2:CT-Street:PR-StreetNumber	2:CT-Street:PR-StreetNumberDirection	2:CT-Street:PR-StreetName	2:CT-Street:PR-StreetType	2:CT-Street:PR-StreetDirection	3:PR-City	4:PR-State-Abbr	5:PR-Rating	6:PR-NumberOfReviews
Giordanos Pizzeria	773	327-1200	1040	W	Belmont	Ave	NULL	Chicago	IL	4.5	652
Lou Malnati's Pizzeria	312	828-9800	439	N	Wells	St	NULL	Chicago	IL	4.5	260
Pizzeria Uno	312	321-1000	29	E	Ohio	St	NULL	Chicago	IL	4	216
Home Run Inn	773	247-9696	4254	W	31st	St	NULL	Chicago	IL	4.5	160
Giordano's Restaurant	312	951-0747	730	N	Rush	St	NULL	Chicago	IL	4.5	123
Chi Tung Chinese & Thai Restaurant	708	636-8180	9560	S	Kedzie	Ave	NULL	Evergreen Park	IL	4.5	118
Wildfire - Chicago	312	787-9000	159	W	Erie	St	NULL	Chicago	IL	4.5	108
Billy Goat Tavern	312	222-1525	430	N	Michigan	Ave	NULL	Chicago	IL	4	100
Grand Lux Cafe	312	276-2500	600	N	Michigan	Ave	NULL	Chicago	IL	4.5	95
Gibsons Steakhouse & Bar	312	266-8999	1028	N	Rush	St	NULL	Chicago	IL	4.5	95
The Restaurant at the Standard	213	892-8080	550	S	Flower	St	NULL	Los Angeles	CA	4	143
Palermo	323	663-1430	1858	N	Vermont	Ave	NULL	Los Angeles	CA	4	123
El Tepayac Cafa(C)	323	267-8668	812	N	Evergreen	Ave	NULL	Los Angeles	CA	4.5	119
Four Seasons Los Angeles	310	273-2222	300	S	Doheny	Dr	NULL	Los Angeles	CA	4.5	117
Shabu Shabu House Restaurant	213	680-3890	127	NULL	Japanese Village Plaza	Mall	NULL	Los Angeles	CA	4.5	102
Porto's Bakery	818	956-5996	315	N	Brand	Blvd	NULL	Glendale	CA	4.5	82
California Pizza Kitchen	310	275-1101	207	S	Beverly	Dr	NULL	Beverly Hills	CA	4	82
Lawry's the Prime Rib - Beverly Hills	310	652-2827	100	N	La Cienega	Blvd	NULL	Beverly Hills	CA	4.5	81
Crustacean	310	205-8990	9646	NULL	Santa Monica	Blvd	NULL	Beverly Hills	CA	4	77
The Restaurant at the Standard	213	892-8080	550	S	Flower	St	NULL	Los Angeles	CA	4	143
Palermo	323	663-1430	1858	N	Vermont	Ave	NULL	Los Angeles	CA	4	123
El Tepayac Cafa(C)	323	267-8668	812	N	Evergreen	Ave	NULL	Los Angeles	CA	4.5	119
Four Seasons Los Angeles	310	273-2222	300	S	Doheny	Dr	NULL	Los Angeles	CA	4.5	117
Shabu Shabu House Restaurant	213	680-3890	127	NULL	Japanese Village Plaza	Mall	NULL	Los Angeles	CA	4.5	102
California Pizza Kitchen	310	275-1101	207	S	Beverly	Dr	NULL	Beverly Hills	CA	4	82
Lawry's the Prime Rib - Beverly Hills	310	652-2827	100	N	La Cienega	Blvd	NULL	Beverly Hills	CA	4.5	81
Crustacean	310	205-8990	9646	NULL	Santa Monica	Blvd	NULL	Beverly Hills	CA	4	77
Yang Chow	213	625-0811	819	N	Broadway	NULL	NULL	Los Angeles	CA	4	72
The Restaurant at the Standard	213	892-8080	550	S	Flower	St	NULL	Los Angeles	CA	4	143
Palermo	323	663-1430	1858	N	Vermont	Ave	NULL	Los Angeles	CA	4	123
El Tepayac Cafa(C)	323	267-8668	812	N	Evergreen	Ave	NULL	Los Angeles	CA	4.5	119
Four Seasons Los Angeles	310	273-2222	300	S	Doheny	Dr	NULL	Los Angeles	CA	4.5	117
Shabu Shabu House Restaurant	213	680-3890	127	NULL	Japanese Village Plaza	Mall	NULL	Los Angeles	CA	4.5	102
Petrillo's Pizza	626	280-7332	833	E	Valley	Blvd	NULL	San Gabriel	CA	4.5	100
California Pizza Kitchen	310	275-1101	207	S	Beverly	Dr	NULL	Beverly Hills	CA	4	82
Porto's Bakery	818	956-5996	315	N	Brand	Blvd	NULL	Glendale	CA	4.5	82
Lawry's the Prime Rib - Beverly Hills	310	652-2827	100	N	La Cienega	Blvd	NULL	Beverly Hills	CA	4.5	81
Grimaldi's	718	858-4300	19	NULL	Cadman	Plz	W	Brooklyn	NY	4	81
