"id","domain","url","tablename"
1,"geospatial","http://geocoder.us/","geospatial1"
2,"geospatial","http://atlas.mapquest.com/maps/latlong.adp","geospatial2"
3,"geospatial","http://www.ontok.com/geocode/index.php","geospatial3"
4,"geospatial","http://geocoder.ca/","geospatial4"
5,"weather","http://www.wunderground.com/","weather5"
6,"weather","http://www.weather.com/","weather6"
7,"weather","http://weather.unisys.com/index.html","weather7"
8,"weather","http://www.weather.com/weather/my/signup","weather8"
9,"weather","http://www.wunderground.com/cgi-bin/findweather/getForecast?addfav=","weather9"
10,"weather","http://www.weather.com/index.html","weather10"
11,"weather","http://www.weather.com/?from=globalnav","weather11"
12,"weather","http://www.wunderground.com/tropical/","weather12"
13,"weather","http://www.wunderground.com/radar/map.asp","weather13"
14,"weather","http://weather.unisys.com/","weather14"
15,"weather","http://www.timetemperature.com/","weather15"
16,"directory","http://www.bigbook.com/","directory16"
17,"weather","http://www.accuweather.com/index.asp?partner=accuweather","weather17"
18,"weather","http://www.accuweather.com/world-index.asp?partner=accuweather&amp;traveler=0","weather18"
19,"weather","http://www.accuweather.com/index.asp?zipcode=&partner=accuweather","weather19"
20,"weather","http://www.accuweather.com/index.asp?partner=forecastfox","weather20"
21,"weather","http://www.accuweather.com/index.asp","weather21"
22,"directory","http://www.dexknows.com","directory22"
